Hshd_num,last_purchase_date,first_purchase_date,purchase_count,total_spend,total_units,avg_basket_value,unique_products,store_region,tenure,tenure_safe,purchase_frequency,recency,spend_per_day,spend_per_visit,product_diversity,dept_food,dept_non-food,dept_pharma,Loyalty_flag,Age_range,Marital_status,Income_range,Homeowner_desc,Hshd_composition,Hshd_size,Children,future_spend,annual_clv,blended_monthly_spend,clv_12_month,predicted_clv,clv_tier
4085,2020-05-14,2018-08-17,281,13891.24,4909,49.43501779359431,1743,CENTRAL,636,636,13.254716981132075,3,21.841572327044023,49.435017793594305,0.35506213078019966,13366.69,484.09,40.46,Y,25-34,Single,UNDER 35K,Homeowner,Single Male,1.0,,1714.5800000000002,6858.320000000001,655.2471698113208,7862.966037735849,7783.443842104706,Platinum
4105,2020-05-10,2019-08-11,16,361.54,131,22.59625,98,WEST,273,273,1.7582417582417582,7,1.3243223443223444,22.59625,0.7480916030534351,331.54,30.0,0.0,Y,55-64,Single,35-49K,Renter,Single Male,1.0,,352.63,1410.52,59.34297716894977,712.1157260273973,392.21924530927413,Bronze
4126,2020-05-17,2018-08-17,196,17240.1,4457,87.95969387755102,1622,CENTRAL,639,639,9.2018779342723,0,26.979812206572767,87.95969387755102,0.3639219205743774,14235.4,2313.79,690.91,Y,45-54,Single,100-150K,Homeowner,1 Adult and Kids,2.0,1.0,1961.92,7847.68,809.394366197183,9712.732394366196,9793.86970437736,Platinum
4146,2020-05-12,2018-08-20,201,10631.22,3457,52.89164179104478,1591,WEST,631,631,9.556259904912835,5,16.84820919175911,52.891641791044776,0.4602256291582297,8776.35,1794.13,60.74,Y,65-74,,UNDER 35K,Renter,Single Male,1.0,,1654.51,6618.04,505.4462757527733,6065.35530903328,6086.674050978714,Gold
4159,2020-04-22,2018-08-18,99,4784.29,1600,48.32616161616161,630,SOUTH,613,613,4.8450244698205545,25,7.804714518760195,48.32616161616161,0.39375,3733.88,715.82,334.59000000000003,N,65-74,Single,100-150K,Homeowner,1 Adult,1.0,,330.29,1321.16,234.14143556280587,2809.6972267536703,2801.349024288081,Silver
4171,2020-05-10,2018-08-18,359,7122.02,3096,19.838495821727022,1212,EAST,631,631,17.068145800316955,7,11.286877971473851,19.838495821727022,0.39147286821705424,6578.54,456.72,86.76,Y,35-44,Single,UNDER 35K,,1 Adult and Kids,3.0,2.0,1008.72,4034.88,338.6063391442155,4063.2760697305857,4046.9986774341905,Gold
4183,2020-05-17,2018-08-19,117,4577.13,2400,39.120769230769234,1247,WEST,637,637,5.5102040816326525,0,7.185447409733124,39.120769230769234,0.5195833333333333,4241.66,216.82,118.65,Y,35-44,Married,75-99K,Homeowner,2 Adults and Kids,4.0,2.0,1103.6100000000001,4414.4400000000005,215.5634222919937,2586.7610675039246,2559.8479171694607,Silver
4214,2020-05-16,2018-08-17,205,8768.86,2183,42.774926829268296,1245,CENTRAL,638,638,9.639498432601881,1,13.744294670846395,42.774926829268296,0.570316078790655,7947.070000000001,677.11,144.68,Y,19-24,Single,50-74K,Renter,1 Adult,1.0,,1696.45,6785.8,412.3288401253919,4947.946081504702,4908.997008071947,Gold
4218,2020-05-15,2018-08-17,129,20604.65,5688,159.72596899224808,1610,EAST,637,637,6.075353218210361,2,32.346389324960754,159.72596899224808,0.2830520393811533,15480.78,4946.46,177.41,Y,35-44,Single,75-99K,Homeowner,Single Female,1.0,,3274.91,13099.64,970.3916797488226,11644.700156985871,11500.548126633395,Platinum
4249,2020-05-14,2018-08-20,267,11153.35,3693,41.772846441947564,1256,EAST,633,633,12.654028436018956,3,17.619826224328595,41.772846441947564,0.34010289737340915,8023.77,2782.58,347.0,Y,65-74,Married,UNDER 35K,Homeowner,2 Adults,2.0,,1048.88,4195.52,528.5947867298578,6343.137440758293,6325.88700783959,Platinum
4264,2020-05-17,2018-08-18,294,7246.96,3151,24.64952380952381,1038,EAST,638,638,13.824451410658307,0,11.358871473354233,24.64952380952381,0.3294192319898445,6321.2,831.0600000000001,94.7,Y,,,,,,,,1299.56,5198.24,340.76614420062697,4089.1937304075236,4093.259528253864,Gold
4293,2020-05-16,2018-08-20,481,14324.94,3868,29.781580041580042,1222,SOUTH,635,635,22.724409448818896,1,22.55896062992126,29.781580041580042,0.31592554291623576,9834.52,4131.08,359.34000000000003,Y,45-54,Single,75-99K,Renter,1 Adult and Kids,,,2347.22,9388.88,676.7688188976377,8121.225826771653,8264.60575002261,Platinum
4351,2019-09-22,2019-09-22,1,16.98,2,16.98,1,EAST,0,1,30.0,238,16.98,16.98,0.5,16.98,0.0,0.0,Y,25-34,Single,35-49K,Renter,Single Female,1.0,,0.0,0.0,1.3956164383561644,16.747397260273974,19.52824749974618,Bronze
4363,2019-11-23,2019-11-23,1,5.1899999999999995,2,5.1899999999999995,2,CENTRAL,0,1,30.0,176,5.1899999999999995,5.1899999999999995,1.0,2.5,2.69,0.0,N,55-64,Married,150K+,Homeowner,2 Adults,2.0,,0.0,0.0,0.4265753424657534,5.118904109589041,33.538184617037835,Bronze
4366,2020-05-17,2018-08-22,96,4972.82,1030,51.80020833333333,405,CENTRAL,634,634,4.542586750788644,0,7.843564668769716,51.80020833333333,0.3932038834951456,4193.81,734.04,44.97,N,55-64,Single,50-74K,Homeowner,1 Adult,1.0,,791.03,3164.12,235.30694006309147,2823.6832807570977,2816.8222268049185,Silver
4372,2020-05-07,2018-08-17,120,5379.52,1466,44.82933333333334,410,CENTRAL,629,629,5.723370429252783,10,8.552496025437202,44.82933333333334,0.27967257844474763,4912.97,354.75,111.8,Y,75+,Married,50-74K,Homeowner,2 Adults,2.0,,640.8100000000001,2563.2400000000002,256.5748807631161,3078.898569157393,3066.3585200050493,Silver
4405,2020-05-13,2018-08-18,101,8956.84,2369,88.68158415841584,869,EAST,634,634,4.7791798107255525,4,14.127507886435332,88.68158415841584,0.3668214436471085,6932.68,1830.79,193.37,Y,,,,,,,,1525.0900000000001,6100.360000000001,423.82523659305997,5085.902839116719,5124.391822492831,Gold
4406,2020-05-10,2018-08-20,122,2471.62,1094,20.25918032786885,395,CENTRAL,629,629,5.8187599364069955,7,3.929443561208267,20.25918032786885,0.3610603290676417,2432.89,37.21,1.52,N,,,,,,,,819.52,3278.08,117.88330683624801,1414.599682034976,1345.509405186316,Bronze
4414,2020-05-17,2018-08-17,410,8730.710000000001,3644,21.29441463414635,1247,CENTRAL,639,639,19.248826291079812,0,13.663082942097027,21.294414634146342,0.34220636663007686,7249.650000000001,1037.55,443.51,Y,35-44,Single,35-49K,Homeowner,Single Male,1.0,,2053.98,8215.92,409.89248826291083,4918.70985915493,4899.7352486749205,Gold
4420,2020-05-16,2018-08-18,190,12674.9,3578,66.71000000000001,1410,EAST,637,637,8.948194662480377,1,19.897802197802196,66.71,0.3940749021799888,10344.7,2197.93,132.27,Y,25-34,Single,50-74K,Renter,1 Adult,1.0,,1475.4,5901.6,596.9340659340659,7163.20879120879,7185.458781976218,Platinum
4432,2019-08-31,2019-08-30,2,29.44,12,14.72,5,WEST,1,1,60.0,260,29.44,14.72,0.4166666666666667,23.44,6.0,0.0,Y,45-54,Single,100-150K,,Single Male,1.0,,67.43,269.72,24.83481278538813,298.0177534246576,182.1753969315061,Bronze
