product1_num,product1_dept,product1_comm,product2_num,product2_dept,product2_comm,co_occurrence_count
8493,FOOD,PRODUCE,9276,FOOD,GROCERY STAPLE,101
85355,FOOD,DAIRY,88715,FOOD,GROCERY STAPLE,154
85355,FOOD,DAIRY,5107273,FOOD,DAIRY,125
85355,FOOD,DAIRY,8487,FOOD,PRODUCE,122
85355,FOOD,DAIRY,100940,FOOD,DAIRY,122
85355,FOOD,DAIRY,8436,FOOD,PRODUCE,118
84882,FOOD,DAIRY,3781030,FOOD,PRODUCE,150
84882,FOOD,DAIRY,5982766,FOOD,DAIRY,101
84882,FOOD,DAIRY,8436,FOOD,PRODUCE,100
5107273,FOOD,DAIRY,88715,FOOD,GROCERY STAPLE,145
5107273,FOOD,DAIRY,85355,FOOD,DAIRY,125
5107273,FOOD,DAIRY,5229522,FOOD,DAIRY,116
5107273,FOOD,DAIRY,88731,FOOD,GROCERY STAPLE,115
5107273,FOOD,DAIRY,5107274,FOOD,DAIRY,102
8507,FOOD,PRODUCE,8487,FOOD,PRODUCE,145
8507,FOOD,PRODUCE,8512,FOOD,PRODUCE,125
8507,FOOD,PRODUCE,8436,FOOD,PRODUCE,125
8507,FOOD,PRODUCE,8490,FOOD,PRODUCE,116
84707,FOOD,DAIRY,88715,FOOD,GROCERY STAPLE,140
84707,FOOD,DAIRY,8436,FOOD,PRODUCE,131
84707,FOOD,DAIRY,3781030,FOOD,PRODUCE,104
9082,FOOD,PRODUCE,8490,FOOD,PRODUCE,138
9082,FOOD,PRODUCE,8436,FOOD,PRODUCE,108
8447,FOOD,PRODUCE,8436,FOOD,PRODUCE,138
100940,FOOD,DAIRY,8436,FOOD,PRODUCE,136
100940,FOOD,DAIRY,88715,FOOD,GROCERY STAPLE,128
100940,FOOD,DAIRY,84775,FOOD,DAIRY,123
100940,FOOD,DAIRY,85355,FOOD,DAIRY,122
100940,FOOD,DAIRY,88731,FOOD,GROCERY STAPLE,115
9058,FOOD,PRODUCE,8436,FOOD,PRODUCE,132
5229522,FOOD,DAIRY,8436,FOOD,PRODUCE,132
5229522,FOOD,DAIRY,5107273,FOOD,DAIRY,116
84766,FOOD,DAIRY,8436,FOOD,PRODUCE,132
97650,FOOD,GROCERY STAPLE,84814,FOOD,DAIRY,130
97650,FOOD,GROCERY STAPLE,2267712,FOOD,PRODUCE,118
5107276,FOOD,DAIRY,84775,FOOD,DAIRY,127
5107276,FOOD,DAIRY,88715,FOOD,GROCERY STAPLE,122
5107276,FOOD,DAIRY,5107274,FOOD,DAIRY,114
5107276,FOOD,DAIRY,8436,FOOD,PRODUCE,105
5107276,FOOD,DAIRY,8487,FOOD,PRODUCE,100
101683,FOOD,PRODUCE,8436,FOOD,PRODUCE,127
101683,FOOD,PRODUCE,1023718,FOOD,PRODUCE,100
5381493,FOOD,BAKERY,1023718,FOOD,PRODUCE,125
8473,FOOD,PRODUCE,9276,FOOD,GROCERY STAPLE,124
8473,FOOD,PRODUCE,9087,FOOD,PRODUCE,103
8473,FOOD,PRODUCE,8478,FOOD,PRODUCE,100
6785463,FOOD,PRODUCE,2267712,FOOD,PRODUCE,123
8494,FOOD,PRODUCE,8490,FOOD,PRODUCE,118
8494,FOOD,PRODUCE,8436,FOOD,PRODUCE,115
8494,FOOD,PRODUCE,8487,FOOD,PRODUCE,110
5295704,FOOD,GROCERY STAPLE,84775,FOOD,DAIRY,118
101634,FOOD,GROCERY STAPLE,8487,FOOD,PRODUCE,116
6822056,FOOD,PRODUCE,8436,FOOD,PRODUCE,114
